"","ID","adj.P.Val","P.Value","t","B","logFC","Gene.symbol","Gene.title"
"65","A_32_P139708",0.000202,3.46e-07,-6.14738,6.5548383,-2.7744676,"",""
"66","A_32_P199002",0.00021,3.66e-07,-6.129621,6.5021741,-2.9071566,"",""
"67","A_24_P376441",0.000223,3.94e-07,-6.106162,6.4325974,-3.0507343,"TAF5L","TATA-box binding protein associated factor 5 like"
"68","A_32_P201616",0.000238,4.27e-07,-6.080487,6.356432,-2.2302999,"",""
"69","A_24_P316234",0.000254,4.65e-07,-6.053659,6.2768298,-2.4026148,"",""
"70","A_24_P646279",0.000254,4.69e-07,-6.050939,6.2687578,-2.6909576,"",""
"71","A_24_P794366",0.000257,4.95e-07,-6.03437,6.2195892,-3.141585,"",""
"72","A_23_P118122",0.000257,4.95e-07,-6.033966,6.2183891,-2.3039998,"RGS11","regulator of G-protein signaling 11"
"73","A_24_P754086",0.000257,4.97e-07,6.033022,6.215588,2.3559085,"NCL","nucleolin"
"74","A_32_P58912",0.000257,5.01e-07,-6.030565,6.2082973,-2.1204146,"",""
"75","A_23_P92614",0.000262,5.18e-07,-6.019697,6.1760395,-1.5121444,"HELQ","helicase, POLQ-like"
"76","A_23_P2895",0.000263,5.28e-07,-6.014,6.1591323,-2.71517,"ADAM20P1","ADAM metallopeptidase domain 20 pseudogene 1"
"77","A_32_P226801",0.000268,5.45e-07,-6.00382,6.1289161,-1.8164535,"",""
"78","A_24_P380679",0.000286,5.96e-07,-5.975573,6.045064,-2.4058387,"LSMEM1","leucine rich single-pass membrane protein 1"
"79","A_23_P87532",0.000286,6.02e-07,-5.97234,6.0354635,-1.298583,"CAPRIN2","caprin family member 2"
"80","A_24_P925635",0.000286,6.08e-07,-5.969162,6.026031,-2.7234517,"SEPT7P2","septin 7 pseudogene 2"
"81","A_23_P300847",0.000286,6.13e-07,-5.966725,6.0187945,-2.5294976,"DIO3OS","DIO3 opposite strand/antisense RNA (head to head)"
"82","A_24_P52882",0.000286,6.18e-07,5.964132,6.0110962,1.8857288,"HRK","harakiri, BCL2 interacting protein"
"83","A_23_P213893",0.000288,6.39e-07,-5.953658,5.98,-2.9731863,"MEGF10","multiple EGF like domains 10"
"84","A_24_P808100",0.000288,6.42e-07,-5.952005,5.9750916,-1.8888044,"MCTS1","MCTS1, re-initiation and release factor"
"85","A_24_P150361",0.000288,6.47e-07,5.949954,5.9690016,2.1590729,"HSP90B1","heat shock protein 90 beta family member 1"
"86","A_32_P384562",0.000288,6.54e-07,-5.94662,5.9591027,-2.2451199,"CROCCP3","ciliary rootlet coiled-coil, rootletin pseudogene 3"
"87","A_24_P307395",0.000288,6.61e-07,-5.943182,5.9488975,-1.9281703,"",""
"88","A_23_P254442",0.00029,6.77e-07,-5.935472,5.9260051,-2.0202468,"LOC155060","AI894139 pseudogene"
"89","A_23_P333138",0.00029,6.81e-07,-5.933778,5.9209735,-1.8415318,"MON2","MON2 homolog, regulator of endosome-to-Golgi trafficking"
"90","A_23_P137765",0.000291,6.9e-07,-5.929467,5.9081738,-3.8329494,"PAFAH2","platelet activating factor acetylhydrolase 2"
"91","A_24_P931628",0.000299,7.31e-07,-5.911119,5.853693,-2.7084975,"",""
"92","A_24_P611182",0.000299,7.33e-07,-5.910508,5.8518789,-2.0689506,"",""
"93","A_23_P152984",0.000299,7.34e-07,5.910222,5.8510305,2.0299386,"ALYREF","Aly/REF export factor"
"94","A_23_P82503",0.000299,7.43e-07,-5.906166,5.8389853,-2.6051743,"PEG10","paternally expressed 10"
"95","A_32_P168670",0.000299,7.49e-07,-5.903648,5.8315096,-2.5462845,"",""
"96","A_32_P56037",3e-04,7.61e-07,-5.898785,5.8170674,-2.0293679,"RGS5","regulator of G-protein signaling 5"
"97","A_24_P106382",0.000303,7.76e-07,-5.892567,5.7986028,-1.373404,"",""
"98","A_23_P6615",0.000308,8.01e-07,-5.882495,5.7686934,-4.4795684,"CPB1","carboxypeptidase B1"
"99","A_23_P16944",0.000308,8.04e-07,5.88124,5.7649677,1.7714391,"SDC1","syndecan 1"
"100","A_23_P316472",0.000311,8.22e-07,-5.874213,5.7440994,-2.1770943,"DNHD1","dynein heavy chain domain 1"
"101","A_32_P113935",0.000311,8.29e-07,-5.871623,5.7364082,-2.6578808,"LNX2","ligand of numb-protein X 2"
"102","A_24_P114438",0.000311,8.37e-07,-5.86875,5.7278776,-1.8913065,"OLA1","Obg-like ATPase 1"
"103","A_24_P250922",0.000321,8.72e-07,-5.855731,5.6892161,-2.3852913,"PTGS2","prostaglandin-endoperoxide synthase 2"
"104","A_32_P117846",0.000322,8.83e-07,-5.851592,5.6769247,-2.1725584,"",""
"105","A_23_P112957",0.000329,9.11e-07,-5.841801,5.6478461,-3.6997375,"",""
"106","A_24_P330684",0.000337,9.46e-07,-5.830116,5.6131478,-4.1882726,"ABAT","4-aminobutyrate aminotransferase"
"107","A_23_P159907",0.000337,9.59e-07,5.825886,5.6005833,1.4391984,"MAGED4B","MAGE family member D4B"
"108","A_24_P419276",0.000337,9.59e-07,-5.825743,5.6001606,-1.793413,"ZNF248","zinc finger protein 248"
"109","A_23_P41476",0.00034,9.77e-07,-5.81986,5.58269,-3.1064117,"SHISA3","shisa family member 3"
"110","A_23_P215549",0.000343,1e-06,-5.811798,5.5587476,-1.8651199,"PON3","paraoxonase 3"
"111","A_24_P491087",0.000343,1e-06,-5.811555,5.5580264,-2.219897,"CCT6P1","chaperonin containing TCP1 subunit 6 pseudogene 1"
"112","A_24_P325118",0.00035,1.03e-06,-5.802041,5.5297715,-3.6689062,"RGS11","regulator of G-protein signaling 11"
"113","A_23_P118815",0.00035,1.04e-06,5.799046,5.5208779,2.5546239,"BIRC5","baculoviral IAP repeat containing 5"
"114","A_32_P233278",0.000352,1.06e-06,5.794764,5.5081616,2.2568514,"",""
"115","A_24_P365679",0.000377,1.14e-06,-5.770309,5.4355421,-2.5471288,"",""
"116","A_24_P932305",0.000383,1.19e-06,-5.758305,5.3998965,-4.3075977,"",""
"117","A_24_P356218",0.000383,1.2e-06,5.755829,5.3925425,2.6524587,"ARL6IP1","ADP ribosylation factor like GTPase 6 interacting protein 1"
"118","A_23_P93302",0.000383,1.2e-06,-5.754981,5.3900246,-1.8392464,"GABBR1","gamma-aminobutyric acid type B receptor subunit 1"
"119","A_24_P942798",0.000383,1.2e-06,-5.754829,5.3895741,-2.3824022,"",""
"120","A_24_P686263",0.000389,1.24e-06,-5.745323,5.3613487,-2.3233218,"",""
"121","A_24_P917044",0.000389,1.24e-06,-5.74405,5.3575679,-2.2593012,"TRPC1","transient receptor potential cation channel subfamily C member 1"
"122","A_24_P301629",0.00039,1.25e-06,-5.741329,5.349488,-2.6718578,"ZNF155","zinc finger protein 155"
"123","A_32_P61439",0.000405,1.31e-06,-5.726674,5.3059735,-1.9684859,"",""
"124","A_23_P377350",0.000412,1.35e-06,-5.718138,5.2806303,-2.8496733,"",""
"125","A_23_P335958",0.000412,1.37e-06,-5.712791,5.2647531,-2.3557138,"GPR155","G protein-coupled receptor 155"
"126","A_32_P83570",0.000412,1.39e-06,-5.7085,5.2520156,-2.3296409,"",""
"127","A_32_P65793",0.000412,1.39e-06,5.70816,5.2510044,2.2277505,"",""
"128","A_23_P51039",0.000412,1.4e-06,-5.706878,5.2471985,-2.3066484,"INHA","inhibin alpha subunit"
"129","A_23_P85963",0.000412,1.4e-06,-5.706069,5.2447983,-4.8637039,"OR6Y1","olfactory receptor family 6 subfamily Y member 1"
"130","A_32_P213861",0.000413,1.42e-06,-5.702903,5.2353981,-2.4384455,"WDFY3-AS2","WDFY3 antisense RNA 2"
"131","A_32_P105073",0.000418,1.44e-06,-5.696689,5.2169484,-2.1475209,"",""
"132","A_32_P11058",0.000418,1.46e-06,-5.693901,5.208672,-2.6439603,"",""
"133","A_32_P110086",0.000422,1.48e-06,-5.689039,5.1942379,-2.4044948,"",""
"134","A_32_P205596",0.000429,1.52e-06,-5.679744,5.1666455,-3.3915894,"",""
"135","A_23_P58228",0.000429,1.54e-06,-5.676681,5.1575536,-2.7779411,"ODAM","odontogenic, ameloblast asssociated"
"136","A_32_P78250",0.000429,1.56e-06,5.671441,5.1419971,2.4888514,"HMGN1","high mobility group nucleosome binding domain 1"
"137","A_24_P408842",0.000429,1.57e-06,-5.670442,5.1390337,-2.2161402,"",""
"138","A_32_P108396",0.000429,1.57e-06,-5.669664,5.1367223,-2.8455152,"",""
"139","A_24_P348083",0.000429,1.57e-06,5.669626,5.1366098,2.5241896,"",""
"140","A_23_P14798",0.000433,1.6e-06,5.664402,5.1211049,1.3362139,"NEO1","neogenin 1"
"141","A_32_P97373",0.000437,1.63e-06,-5.65914,5.1054858,-2.5633942,"",""
"142","A_32_P23209",0.000443,1.66e-06,-5.652738,5.0864817,-2.1371536,"",""
"143","A_32_P214107",0.000449,1.71e-06,-5.642899,5.0572808,-2.5867022,"",""
"144","A_23_P377664",0.000449,1.73e-06,-5.64051,5.0501896,-1.5395063,"ALS2","ALS2, alsin Rho guanine nucleotide exchange factor"
"145","A_23_P76006",0.000449,1.75e-06,5.63696,5.0396534,2.2421657,"SERPINH1","serpin family H member 1"
"146","A_24_P937817",0.000449,1.75e-06,-5.635292,5.0347056,-1.8335209,"FAS","Fas cell surface death receptor"
"147","A_23_P131846",0.000449,1.76e-06,5.634262,5.0316488,1.6435592,"SNAI1","snail family transcriptional repressor 1"
"148","A_23_P207456",0.000449,1.77e-06,-5.633,5.0279037,-2.8085472,"CCL8","C-C motif chemokine ligand 8"
"149","A_32_P159023",0.000449,1.78e-06,-5.631298,5.0228514,-1.5277544,"",""
"150","A_32_P70341",0.000449,1.79e-06,5.629144,5.0164592,3.2079327,"",""
"151","A_24_P193257",0.000449,1.83e-06,-5.622519,4.9967992,-1.7685375,"",""
"152","A_24_P50875",0.000449,1.84e-06,-5.621058,4.9924642,-2.3127294,"ANKHD1","ankyrin repeat and KH domain containing 1"
"153","A_23_P163200",0.000449,1.84e-06,-5.620906,4.9920115,-2.6307321,"RIN3","Ras and Rab interactor 3"
"154","A_23_P218517",0.000449,1.84e-06,-5.619855,4.9888952,-2.5336724,"ZNF222","zinc finger protein 222"
"155","A_24_P55437",0.000449,1.84e-06,5.619423,4.9876128,1.9532843,"TES","testin LIM domain protein"
"156","A_23_P83453",0.000449,1.85e-06,5.618896,4.986047,1.9884454,"SMARCC1","SWI/SNF related, matrix associated, actin dependent regulator of chromatin subfamily c member 1"
"157","A_32_P178842",0.00046,1.92e-06,-5.607074,4.9509685,-1.392392,"",""
"158","A_23_P258582",0.00046,1.94e-06,-5.604189,4.9424083,-1.9837346,"GK5","glycerol kinase 5 (putative)"
"159","A_23_P118038",0.00046,1.94e-06,5.603197,4.9394646,1.9043771,"NUTF2","nuclear transport factor 2"
"160","A_32_P128209",0.00046,1.94e-06,-5.603002,4.9388878,-1.9336816,"LINC01554","long intergenic non-protein coding RNA 1554"
"161","A_24_P247987",0.000466,1.98e-06,-5.597267,4.9218698,-3.9645409,"USB1","U6 snRNA biogenesis phosphodiesterase 1"
"162","A_23_P29394",0.000476,2.03e-06,-5.58865,4.8963062,-2.7849989,"ATP13A4","ATPase 13A4"
"163","A_24_P218074",0.000484,2.08e-06,5.581633,4.8754895,1.8364339,"ZNF467","zinc finger protein 467"
"164","A_23_P127553",0.000492,2.13e-06,-5.574283,4.8536872,-2.4644018,"KBTBD3","kelch repeat and BTB domain containing 3"
"165","A_23_P321511",0.000508,2.21e-06,-5.562542,4.8188604,-1.7821255,"MARCH3","membrane associated ring-CH-type finger 3"
"166","A_24_P921446",0.000511,2.24e-06,-5.558455,4.8067391,-3.0419976,"EMP1","epithelial membrane protein 1"
"167","A_23_P413952",0.000532,2.35e-06,-5.543658,4.7628563,-2.1327473,"LOC100509780","uncharacterized LOC100509780"
"168","A_32_P144390",0.000533,2.36e-06,-5.541421,4.7562213,-2.0337592,"",""
"169","A_23_P420981",0.000533,2.39e-06,-5.538027,4.7461578,-3.668422,"C14orf79","chromosome 14 open reading frame 79"
"170","A_23_P113645",0.000533,2.39e-06,-5.53753,4.7446836,-3.8404818,"",""
"171","A_23_P368145",0.000546,2.47e-06,-5.527713,4.7155758,-1.4102044,"GORAB","golgin, RAB6 interacting"
"172","A_24_P314451",0.000546,2.47e-06,-5.52666,4.7124536,-3.4292611,"F8","coagulation factor VIII"
"173","A_32_P230326",0.000549,2.51e-06,-5.522767,4.7009104,-2.8559152,"",""
"174","A_23_P77430",0.000551,2.53e-06,5.51964,4.6916406,1.6016219,"PRMT7","protein arginine methyltransferase 7"
"175","A_23_P398254",0.000551,2.55e-06,-5.516967,4.683716,-2.2427125,"SMURF1","SMAD specific E3 ubiquitin protein ligase 1"
"176","A_32_P1405",0.000551,2.57e-06,-5.514435,4.6762097,-3.1059764,"",""
"177","A_32_P185140",0.000551,2.57e-06,-5.514233,4.6756084,-2.412621,"TPM1","tropomyosin 1 (alpha)"
"178","A_32_P83973",0.000557,2.61e-06,-5.509395,4.6612667,-2.4247728,"",""
"179","A_23_P107421",0.000559,2.64e-06,5.50645,4.652539,3.0059002,"TK1","thymidine kinase 1"
"180","A_23_P166400",0.000561,2.67e-06,-5.502202,4.6399465,-1.4878742,"",""
"181","A_23_P90333",0.000561,2.7e-06,-5.498963,4.6303443,-1.6831316,"ZNF404","zinc finger protein 404"
"182","A_24_P367602",0.000561,2.72e-06,-5.497166,4.6250186,-2.7890597,"DUSP5P1","dual specificity phosphatase 5 pseudogene 1"
"183","A_24_P915326",0.000561,2.72e-06,-5.496483,4.6229958,-2.8368138,"",""
"184","A_32_P9941",0.000561,2.72e-06,-5.496429,4.6228333,-4.4026366,"WIF1","WNT inhibitory factor 1"
"185","A_32_P89480",0.000578,2.82e-06,-5.485595,4.5907267,-2.3021645,"",""
"186","A_23_P308974",0.000585,2.87e-06,-5.479662,4.5731433,-2.1283025,"ADAMTSL3","ADAMTS like 3"
"187","A_24_P167642",0.000585,2.89e-06,-5.478048,4.5683602,-1.7783328,"GCH1","GTP cyclohydrolase 1"
"188","A_23_P321972",0.000595,2.95e-06,-5.471203,4.5480772,-2.0042241,"FGD5","FYVE, RhoGEF and PH domain containing 5"
"189","A_23_P2901",0.000595,2.97e-06,-5.468588,4.5403305,-2.6600679,"",""
"190","A_24_P480464",0.000595,2.98e-06,5.467602,4.5374071,2.8087236,"",""
"191","A_23_P33356",6e-04,3.02e-06,-5.463678,4.5257825,-2.0228435,"ADAMTS9","ADAM metallopeptidase with thrombospondin type 1 motif 9"
"192","A_32_P24372",0.000603,3.05e-06,-5.460525,4.5164408,-1.9378817,"TBC1D3B","TBC1 domain family member 3B"
"193","A_24_P923554",0.000606,3.08e-06,-5.457257,4.5067597,-4.2491199,"",""
"194","A_32_P197899",0.000606,3.1e-06,-5.455269,4.5008697,-4.4356276,"",""
"195","A_23_P218858",0.000609,3.15e-06,-5.450801,4.4876362,-2.2958894,"ABI3BP","ABI family member 3 binding protein"
"196","A_23_P164436",0.000609,3.15e-06,-5.450778,4.4875669,-2.0863722,"ASPA","aspartoacylase"
"197","A_23_P349566",0.000611,3.17e-06,-5.448027,4.4794174,-1.9434852,"CCDC85A","coiled-coil domain containing 85A"
"198","A_32_P94132",0.000619,3.25e-06,-5.440867,4.4582113,-1.3635829,"",""
"199","A_24_P93931",0.000619,3.25e-06,-5.440428,4.4569107,-2.5865116,"",""
"200","A_24_P682550",0.00062,3.29e-06,-5.436317,4.4447338,-1.840418,"",""
"201","A_24_P186943",0.00062,3.3e-06,-5.435702,4.4429136,-1.7773309,"ELN","elastin"
"202","A_23_P27636",0.00062,3.3e-06,-5.435632,4.4427063,-2.2317919,"ZNF700","zinc finger protein 700"
"203","A_23_P18539",0.000623,3.33e-06,-5.432429,4.433221,-1.7645944,"MMRN1","multimerin 1"
"204","A_24_P256415",0.000623,3.35e-06,-5.430782,4.428342,-2.7036206,"LOC100128288","uncharacterized LOC100128288"
"205","A_24_P152937",0.000623,3.37e-06,-5.429362,4.4241371,-2.7552621,"TNRC18","trinucleotide repeat containing 18"
"206","A_32_P127350",0.000645,3.5e-06,-5.416779,4.386879,-2.7008674,"LINC00461","long intergenic non-protein coding RNA 461"
"207","A_32_P212343",0.000645,3.52e-06,-5.415349,4.3826463,-1.6226288,"",""
"208","A_32_P36942",0.000646,3.54e-06,-5.413329,4.3766635,-1.6499147,"TYW5","tRNA-yW synthesizing protein 5"
"209","A_24_P109962",0.000646,3.58e-06,5.410413,4.3680311,2.4474824,"",""
"210","A_23_P217009",0.000646,3.58e-06,5.409882,4.3664606,2.0657289,"C9orf24","chromosome 9 open reading frame 24"
"211","A_32_P78904",0.000646,3.6e-06,-5.408671,4.3628741,-1.6561762,"STRN","striatin"
"212","A_24_P813520",0.000652,3.68e-06,-5.401693,4.3422172,-1.6323877,"",""
"213","A_23_P312008",0.000652,3.68e-06,-5.401613,4.3419799,-2.7838126,"CD55","CD55 molecule (Cromer blood group)"
"214","A_24_P68222",0.000652,3.68e-06,-5.401378,4.3412865,-1.7058354,"CD99P1","CD99 molecule pseudogene 1"
"215","A_24_P324581",0.000652,3.7e-06,-5.399759,4.3364935,-1.9428832,"ERV3-2","endogenous retrovirus group 3 member 2"
"216","A_24_P227065",0.00066,3.76e-06,-5.394555,4.3210888,-4.061457,"PITX3","paired like homeodomain 3"
"217","A_24_P282083",0.000684,3.91e-06,-5.381749,4.2831913,-1.9860882,"",""
"218","A_23_P36448",0.000693,4.01e-06,5.373877,4.2598994,2.2457747,"TMED2","transmembrane p24 trafficking protein 2"
"219","A_32_P30238",0.000693,4.02e-06,-5.373348,4.2583323,-2.9394527,"",""
"220","A_32_P22637",0.000693,4.02e-06,-5.373042,4.2574284,-2.0035644,"",""
"221","A_24_P136725",0.000698,4.07e-06,-5.369337,4.2464673,-1.5381137,"SPIN3","spindlin family member 3"
"222","A_23_P381577",0.000704,4.12e-06,-5.365502,4.2351195,-1.5097168,"ZNF25","zinc finger protein 25"
"223","A_23_P46903",0.000707,4.16e-06,-5.362544,4.226371,-2.7026129,"CAMK2G","calcium/calmodulin dependent protein kinase II gamma"
"224","A_23_P121102",0.000712,4.21e-06,-5.358865,4.2154882,-2.0902522,"HESX1","HESX homeobox 1"
"225","A_24_P349896",0.000713,4.23e-06,5.357238,4.2106739,2.1787067,"",""
"226","A_23_P166779",0.000715,4.26e-06,-5.354757,4.2033355,-2.6814845,"LINC00312","long intergenic non-protein coding RNA 312"
"227","A_23_P204885",0.000717,4.32e-06,-5.350717,4.1913864,-2.1316639,"PCDH20","protocadherin 20"
"228","A_24_P207195",0.000717,4.33e-06,5.349957,4.1891394,1.9303762,"IRX3","iroquois homeobox 3"
"229","A_24_P31671",0.000717,4.33e-06,-5.349785,4.1886299,-2.1825978,"GPCPD1","glycerophosphocholine phosphodiesterase 1"
"230","A_24_P936252",0.000717,4.38e-06,5.346238,4.17814,2.2804648,"",""
"231","A_23_P210445",0.000717,4.38e-06,-5.345953,4.1772986,-2.1658388,"L3MBTL1","l(3)mbt-like 1 (Drosophila)"
"232","A_23_P503115",0.000717,4.39e-06,5.345677,4.1764816,1.1781444,"BCR","BCR, RhoGEF and GTPase activating protein"
"233","A_24_P349869",0.000721,4.45e-06,5.341171,4.1631583,1.9221473,"",""
"234","A_32_P163594",0.000721,4.45e-06,-5.341004,4.1626634,-2.781309,"",""
"235","A_24_P399871",0.000752,4.66e-06,5.326615,4.1201184,2.9924161,"CACNA1I","calcium voltage-gated channel subunit alpha1 I"
"236","A_23_P97141",0.000752,4.68e-06,-5.32502,4.1154037,-3.0991581,"RGS1","regulator of G-protein signaling 1"
"237","A_23_P418431",0.000752,4.7e-06,-5.323895,4.112079,-2.4396816,"LINC01590","long intergenic non-protein coding RNA 1590"
"238","A_24_P315500",0.000754,4.73e-06,5.321795,4.1058711,1.7578379,"NFYC-AS1","NFYC antisense RNA 1"
"239","A_23_P2554",0.000757,4.77e-06,5.31914,4.0980235,2.5297082,"MLEC","malectin"
"240","A_23_P307682",0.000757,4.8e-06,-5.317515,4.0932205,-2.5131659,"FAM78B","family with sequence similarity 78 member B"
"241","A_32_P185701",0.000758,4.82e-06,-5.316179,4.0892718,-1.7340964,"",""
"242","A_23_P409355",0.000759,4.87e-06,-5.312555,4.0785607,-2.2711799,"PXN","paxillin"
