"","GeneID","padj","pvalue","lfcSE","stat","log2FoldChange","baseMean","Symbol","Description"
"89",4293,1.56e-41,6.59e-44,0.1764,13.8971685,2.45,368.2,"MAP3K9","mitogen-activated protein kinase kinase kinase 9"
"90",266722,1.59e-41,6.83e-44,0.4213,13.8946531,5.85,156.11,"HS6ST3","heparan sulfate 6-O-sulfotransferase 3"
"91",27019,1.61e-41,6.99e-44,0.4493,13.8929524,6.24,137.29,"DNAI1","dynein axonemal intermediate chain 1"
"92",2908,1.66e-41,7.25e-44,0.1385,-13.8903707,-1.92,2653.86,"NR3C1","nuclear receptor subfamily 3 group C member 1"
"93",4066,2.69e-41,1.19e-43,0.1451,-13.8548778,-2.01,1180.8,"LYL1","LYL1 basic helix-loop-helix family member"
"94",3162,3.22e-41,1.44e-43,0.4398,-13.8410632,-6.09,42279.95,"HMOX1","heme oxygenase 1"
"95",28914,4.69e-41,2.12e-43,0.6332,-13.8132543,-8.75,3772.04,"IGKV3-11","immunoglobulin kappa variable 3-11"
"96",101927167,5.8e-41,2.65e-43,0.2223,13.7971954,3.07,639.85,"GATA2-AS1","GATA2 antisense RNA 1"
"97",283078,6.74e-41,3.14e-43,0.4111,-13.7849093,-5.67,429.29,"MKX","mohawk homeobox"
"98",28452,6.74e-41,3.14e-43,0.6474,-13.7848862,-8.92,2294.62,"IGHV3-7","immunoglobulin heavy variable 3-7"
"99",5270,1.08e-40,5.09e-43,0.3757,-13.7500032,-5.17,8546.7,"SERPINE2","serpin family E member 2"
"100",5740,1.9e-40,9.04e-43,0.458,-13.7084445,-6.28,13579.37,"PTGIS","prostaglandin I2 synthase"
"101",83451,2.13e-40,1.02e-42,0.173,13.6994066,2.37,942.83,"ABHD11","abhydrolase domain containing 11"
"102",100287467,3.8e-40,1.84e-42,0.2037,-13.6566703,-2.78,319.32,"LOC100287467","uncharacterized LOC100287467"
"103",2327,4.21e-40,2.07e-42,0.4552,-13.648348,-6.21,517.59,"FMO2","flavin containing dimethylaniline monoxygenase 2"
"104",28919,5.19e-40,2.57e-42,0.6581,-13.6324054,-8.97,726.95,"IGKV2-30","immunoglobulin kappa variable 2-30"
"105",646029,5.21e-40,2.6e-42,0.6965,-13.6314115,-9.49,1001.24,"LINC03030","long intergenic non-protein coding RNA 3030"
"106",161291,5.87e-40,2.96e-42,0.2644,13.6220412,3.6,1179.72,"TMEM30B","transmembrane protein 30B"
"107",55068,7.55e-40,3.85e-42,0.2936,-13.6029552,-3.99,579.03,"ENOX1","ecto-NOX disulfide-thiol exchanger 1"
"108",57514,1.23e-39,6.31e-42,0.1346,-13.5667007,-1.83,2239.48,"ARHGAP31","Rho GTPase activating protein 31"
"109",9242,1.71e-39,8.89e-42,0.3166,-13.5415512,-4.29,1163.1,"MSC","musculin"
"110",10129,1.76e-39,9.2e-42,0.1906,-13.5390598,-2.58,2100.47,"FRY","FRY microtubule binding protein"
"111",201625,2.09e-39,1.1e-41,0.3322,13.5257922,4.49,198.31,"DNAH12","dynein axonemal heavy chain 12"
"112",253650,2.85e-39,1.52e-41,0.4158,13.5020597,5.61,154.76,"ANKRD18A","ankyrin repeat domain 18A"
"113",28937,2.98e-39,1.6e-41,0.6476,-13.4982903,-8.74,675.49,"IGKV1-17","immunoglobulin kappa variable 1-17"
"114",28950,4.54e-39,2.46e-41,0.6002,-13.4665249,-8.08,1981.95,"IGKJ1","immunoglobulin kappa joining 1"
"115",3224,6.29e-39,3.44e-41,0.5593,-13.4417268,-7.52,292.8,"HOXC8","homeobox C8"
"116",158158,7.47e-39,4.12e-41,0.4301,13.4283869,5.78,1289.18,"RASEF","RAS and EF-hand domain containing"
"117",254887,1.04e-38,5.78e-41,0.1933,13.4033484,2.59,427.9,"ZDHHC23","zinc finger DHHC-type palmitoyltransferase 23"
"118",2995,1.11e-38,6.23e-41,0.1067,-13.3978217,-1.43,3199.97,"GYPC","glycophorin C (Gerbich blood group)"
"119",112268447,1.16e-38,6.57e-41,0.3103,-13.3938563,-4.16,1649.53,"LOC112268447",""
"120",261729,1.2e-38,6.93e-41,0.2855,-13.3898779,-3.82,1549.57,"STEAP2","STEAP2 metalloreductase"
"121",2157,1.2e-38,6.94e-41,0.1821,-13.3897874,-2.44,982.85,"F8","coagulation factor VIII"
"122",3221,1.68e-38,9.76e-41,0.2768,-13.3644147,-3.7,391.24,"HOXC4","homeobox C4"
"123",201191,2.23e-38,1.3e-40,0.1044,-13.3428687,-1.39,739.75,"SAMD14","sterile alpha motif domain containing 14"
"124",51311,2.28e-38,1.34e-40,0.3467,-13.3405736,-4.63,390.33,"TLR8","toll like receptor 8"
"125",255101,2.35e-38,1.4e-40,0.5526,13.3375121,7.37,117.85,"CFAP65","cilia and flagella associated protein 65"
"126",3217,3.14e-38,1.88e-40,0.2632,13.3154362,3.5,742.83,"HOXB7","homeobox B7"
"127",730,4.87e-38,2.94e-40,0.4989,-13.2820593,-6.63,21589.75,"C7","complement C7"
"128",28394,6.97e-38,4.25e-40,0.6429,-13.2545701,-8.52,1924.43,"IGHV4-39","immunoglobulin heavy variable 4-39"
"129",2512,8.39e-38,5.15e-40,0.3032,-13.2400394,-4.01,258185.48,"FTL","ferritin light chain"
"130",1767,8.45e-38,5.22e-40,0.3886,13.2389869,5.14,371.44,"DNAH5","dynein axonemal heavy chain 5"
"131",102524628,8.6e-38,5.36e-40,0.3046,-13.2370218,-4.03,100.01,"RASGRF2-AS1","RASGRF2 antisense RNA 1"
"132",8707,2.14e-37,1.35e-39,0.4624,-13.1677644,-6.09,150.52,"B3GALT2","beta-1,3-galactosyltransferase 2"
"133",100506621,3.04e-37,1.93e-39,0.317,-13.1406011,-4.17,1460.43,"LINC01279","replaced by ID 151887"
"134",5360,3.46e-37,2.2e-39,0.1576,-13.1304154,-2.07,9392.38,"PLTP","phospholipid transfer protein"
"135",6356,4.97e-37,3.19e-39,0.7476,-13.1023873,-9.8,417,"CCL11","C-C motif chemokine ligand 11"
"136",284417,5.24e-37,3.39e-39,0.3068,-13.0977625,-4.02,281.59,"TMEM150B","transmembrane protein 150B"
"137",23566,8.26e-37,5.39e-39,0.4796,13.0625734,6.26,412.37,"LPAR3","lysophosphatidic acid receptor 3"
"138",10007,8.53e-37,5.6e-39,0.0995,-13.0596139,-1.3,2302.71,"GNPDA1","glucosamine-6-phosphate deaminase 1"
"139",144809,1.28e-36,8.47e-39,0.5307,13.0280695,6.91,297.08,"FAM216B","family with sequence similarity 216 member B"
"140",9956,2.29e-36,1.54e-38,0.6801,-12.9824873,-8.83,1136.71,"HS3ST2","heparan sulfate-glucosamine 3-sulfotransferase 2"
"141",7780,3.44e-36,2.33e-38,0.6536,12.9507593,8.47,4725.99,"SLC30A2","solute carrier family 30 member 2"
"142",112267873,3.82e-36,2.6e-38,0.5713,12.9422564,7.39,576.89,"LINC02814","long intergenic non-protein coding RNA 2814"
"143",53407,5.3e-36,3.63e-38,0.2049,12.9165939,2.65,6108.38,"STX18","syntaxin 18"
"144",58495,5.33e-36,3.71e-38,0.4464,12.9149756,5.77,145.79,"OVOL2","ovo like zinc finger 2"
"145",2846,5.33e-36,3.71e-38,0.2675,-12.9149723,-3.45,276.96,"LPAR4","lysophosphatidic acid receptor 4"
"146",147798,9.32e-36,6.52e-38,0.3359,12.8714545,4.32,2702.88,"TMC4","transmembrane channel like 4"
"147",388559,9.65e-36,6.8e-38,0.2872,12.8681758,3.7,2556.09,"ZNF888","zinc finger protein 888"
"148",28450,1.11e-35,7.84e-38,0.7277,-12.8572129,-9.36,1810.38,"IGHV3-11","immunoglobulin heavy variable 3-11"
"149",143162,1.39e-35,9.9e-38,0.3945,12.8391071,5.06,88.83,"FRMPD2","FERM and PDZ domain containing 2"
"150",3501,1.66e-35,1.19e-37,0.6328,-12.8246118,-8.12,28627.5,"IGHG2","immunoglobulin heavy constant gamma 2 (G2m marker)"
"151",100529240,1.7e-35,1.23e-37,0.1747,12.8222328,2.24,226.83,"ZNF816-ZNF321P","ZNF816-ZNF321P readthrough"
"152",105372228,1.77e-35,1.29e-37,0.5866,-12.8188878,-7.52,371,"LOC105372228","uncharacterized LOC105372228"
"153",100128338,2.36e-35,1.73e-37,0.3538,12.7958957,4.53,276.97,"FAM83H-AS1","replaced by ID 642574"
"154",5368,2.52e-35,1.86e-37,0.7459,-12.7902277,-9.54,2284.73,"PNOC","prepronociceptin"
"155",9938,2.91e-35,2.16e-37,0.2509,-12.7785453,-3.21,1673.44,"ARHGAP25","Rho GTPase activating protein 25"
"156",9865,4.13e-35,3.09e-37,0.2267,-12.7507668,-2.89,492.03,"TRIL","TLR4 interactor with leucine rich repeats"
"157",3216,4.51e-35,3.39e-37,0.3752,12.7433765,4.78,1707.67,"HOXB6","homeobox B6"
"158",5136,5.24e-35,3.96e-37,0.2223,-12.7312952,-2.83,579.94,"PDE1A","phosphodiesterase 1A"
"159",112268096,5.74e-35,4.37e-37,0.5208,12.7235931,6.63,380.81,"LOC112268096","uncharacterized LOC112268096"
"160",1952,5.76e-35,4.41e-37,0.2114,12.7228897,2.69,1757.79,"CELSR2","cadherin EGF LAG seven-pass G-type receptor 2"
"161",100130933,7.45e-35,5.74e-37,0.3796,12.7022981,4.82,114.85,"SMIM6","small integral membrane protein 6"
"162",56062,8.03e-35,6.23e-37,0.3231,-12.6959732,-4.1,647.9,"KLHL4","kelch like family member 4"
"163",28388,8.11e-35,6.33e-37,0.6379,-12.6946811,-8.1,1680.59,"IGHV5-51","immunoglobulin heavy variable 5-51"
"164",112574,8.22e-35,6.45e-37,0.1412,-12.6931534,-1.79,2414.27,"SNX18","sorting nexin 18"
"165",79740,8.35e-35,6.59e-37,0.444,12.6914596,5.64,89.22,"ZBBX","zinc finger B-box domain containing"
"166",25927,9.2e-35,7.31e-37,0.1503,-12.6833546,-1.91,2123.36,"CNRIP1","cannabinoid receptor interacting protein 1"
"167",57604,9.75e-35,7.79e-37,0.2363,12.6783872,3,546.24,"TRMT9B","tRNA methyltransferase 9B (putative)"
"168",8693,1.34e-34,1.07e-36,0.2726,12.6531406,3.45,1832.04,"GALNT4","polypeptide N-acetylgalactosaminyltransferase 4"
"169",6943,1.34e-34,1.08e-36,0.5278,-12.6525036,-6.68,2068.73,"TCF21","transcription factor 21"
"170",1750,2.01e-34,1.63e-36,0.4784,12.6201719,6.04,480.9,"DLX6","distal-less homeobox 6"
"171",28385,2.08e-34,1.7e-36,0.6788,-12.6171444,-8.56,662.89,"IGHV6-1","immunoglobulin heavy variable 6-1"
"172",404266,2.44e-34,2.01e-36,0.3726,12.6038419,4.7,652.39,"HOXB-AS3","HOXB cluster antisense RNA 3"
"173",7355,2.95e-34,2.45e-36,0.1005,12.5884188,1.27,1145.71,"SLC35A2","solute carrier family 35 member A2"
"174",51361,3.52e-34,2.93e-36,0.4423,12.574183,5.56,1686.93,"HOOK1","hook microtubule tethering protein 1"
"175",103091864,4.03e-34,3.38e-36,0.1797,12.5628998,2.26,141.02,"SNHG22","small nucleolar RNA host gene 22"
"176",122481,4.7e-34,3.96e-36,0.2968,12.5502588,3.72,281.35,"AK7","adenylate kinase 7"
"177",3507,4.87e-34,4.13e-36,0.55,-12.5470288,-6.9,7475.59,"IGHM","immunoglobulin heavy constant mu"
"178",9618,5.67e-34,4.83e-36,0.1717,12.5346048,2.15,1506.07,"TRAF4","TNF receptor associated factor 4"
"179",105372978,6.22e-34,5.33e-36,0.4462,-12.5267582,-5.59,88.87,"LINC01638","long intergenic non-protein coding RNA 1638"
"180",28408,6.4e-34,5.51e-36,0.5506,-12.5241435,-6.9,1465.95,"IGHV3-74","immunoglobulin heavy variable 3-74"
"181",23646,6.94e-34,6.01e-36,0.1538,-12.5171967,-1.93,17942.74,"PLD3","phospholipase D family member 3"
"182",283460,7.8e-34,6.79e-36,0.5741,12.5075164,7.18,178.59,"HNF1A-AS1","HNF1A antisense RNA 1"
"183",170302,8.15e-34,7.14e-36,0.8542,-12.5035762,-10.7,701.02,"ARX","aristaless related homeobox"
"184",28938,9.14e-34,8.05e-36,0.696,-12.494012,-8.7,1287.67,"IGKV1-16","immunoglobulin kappa variable 1-16"
"185",6833,9.8e-34,8.67e-36,0.6088,12.4880701,7.6,450.27,"ABCC8","ATP binding cassette subfamily C member 8"
"186",9229,1.03e-33,9.13e-36,0.4787,12.4840041,5.98,1533.36,"DLGAP1","DLG associated protein 1"
"187",84688,1.09e-33,9.73e-36,0.3168,12.4788828,3.95,200.27,"C9orf24","chromosome 9 open reading frame 24"
"188",28923,1.15e-33,1.04e-35,0.631,-12.473844,-7.87,317.94,"IGKV2-24","immunoglobulin kappa variable 2-24"
"189",9332,1.58e-33,1.43e-35,0.3506,-12.448455,-4.36,15952.85,"CD163","CD163 molecule"
"190",6362,2.18e-33,1.98e-35,0.6892,-12.4222425,-8.56,2019.51,"CCL18","C-C motif chemokine ligand 18"
"191",643763,5.07e-33,4.63e-35,0.4971,12.3540993,6.14,93.54,"NKAIN3-IT1","replaced by ID 286183"
"192",100506658,5.1e-33,4.68e-35,0.3465,12.3532159,4.28,630.92,"OCLN","occludin"
"193",399693,5.22e-33,4.82e-35,0.5255,12.3508307,6.49,80.87,"CCDC187","coiled-coil domain containing 187"
"194",2705,5.97e-33,5.54e-35,0.5921,12.339676,7.31,1826.79,"GJB1","gap junction protein beta 1"
"195",11185,7.12e-33,6.64e-35,0.4532,-12.3249946,-5.59,1011.18,"INMT","indolethylamine N-methyltransferase"
"196",4035,7.25e-33,6.8e-35,0.1888,-12.3231883,-2.33,51070.87,"LRP1","LDL receptor related protein 1"
"197",10321,8.16e-33,7.69e-35,0.651,12.3132524,8.02,5764.54,"CRISP3","cysteine rich secretory protein 3"
"198",1832,1.15e-32,1.09e-34,0.2984,12.2847769,3.67,7448.4,"DSP","desmoplakin"
"199",10894,1.16e-32,1.11e-34,0.3382,-12.2838397,-4.15,3475.8,"LYVE1","lymphatic vessel endothelial hyaluronan receptor 1"
"200",28809,1.16e-32,1.11e-34,0.744,-12.2833612,-9.14,1262.31,"IGLV3-1","immunoglobulin lambda variable 3-1"
"201",341640,1.3e-32,1.25e-34,0.5556,12.2740818,6.82,1645.06,"FREM2","FRAS1 related extracellular matrix 2"
"202",284942,1.44e-32,1.39e-34,0.0895,-12.2650937,-1.1,657.04,"RPL23AP82","ribosomal protein L23a pseudogene 82"
"203",6451,1.45e-32,1.41e-34,0.121,-12.2644703,-1.48,9342.93,"SH3BGRL","SH3 domain binding glutamate rich protein like"
"204",153643,1.52e-32,1.49e-34,0.4849,12.2596485,5.94,70.05,"FAM81B","family with sequence similarity 81 member B"
"205",64785,1.52e-32,1.49e-34,0.2177,12.2599222,2.67,696.4,"GINS3","GINS complex subunit 3"
"206",127003,1.6e-32,1.58e-34,0.4831,12.255081,5.92,79.34,"CFAP276","cilia and flagella associated protein 276"
"207",54836,1.66e-32,1.65e-34,0.3967,12.2516484,4.86,453.79,"BSPRY","B-box and SPRY domain containing"
"208",9839,1.7e-32,1.69e-34,0.1346,-12.2495834,-1.65,7427.69,"ZEB2","zinc finger E-box binding homeobox 2"
"209",200634,1.87e-32,1.87e-34,0.2026,12.241366,2.48,388.83,"KRTCAP3","keratinocyte associated protein 3"
"210",254173,2.15e-32,2.16e-34,0.4039,12.2295582,4.94,57.89,"TTLL10","tubulin tyrosine ligase like 10"
"211",8324,2.26e-32,2.27e-34,0.3238,-12.2253857,-3.96,654.39,"FZD7","frizzled class receptor 7"
"212",143662,2.42e-32,2.46e-34,0.647,12.2191432,7.91,617.77,"MUC15","mucin 15, cell surface associated"
"213",57476,2.51e-32,2.55e-34,0.2789,-12.2159856,-3.41,1187.52,"GRAMD1B","GRAM domain containing 1B"
"214",374407,2.8e-32,2.87e-34,0.4199,12.2065974,5.12,482.63,"DNAJB13","DnaJ heat shock protein family (Hsp40) member B13"
"215",105374041,2.95e-32,3.03e-34,0.4746,12.2020163,5.79,140.08,"LOC105374041","uncharacterized LOC105374041"
"216",8828,3.96e-32,4.09e-34,0.3621,-12.17771,-4.41,10312.79,"NRP2","neuropilin 2"
"217",8511,4.23e-32,4.39e-34,0.3772,-12.1718201,-4.59,419.4,"MMP23A","matrix metallopeptidase 23A (pseudogene)"
"218",389643,5.21e-32,5.43e-34,0.4064,-12.1544381,-4.94,202.92,"NUGGC","nuclear GTPase, germinal center associated"
"219",90506,5.46e-32,5.72e-34,0.2892,12.1502379,3.51,279.63,"LRRC46","leucine rich repeat containing 46"
"220",25884,5.5e-32,5.79e-34,0.4845,-12.1492633,-5.89,250.45,"CHRDL2","chordin like 2"
"221",51090,7.76e-32,8.2e-34,0.3071,12.1207905,3.72,1810.44,"PLLP","plasmolipin"
